                 line1                  |            City            |       district       |                country                
 1697 Tanauan Lane                      | Pathankot                  | Punjab               | India
 951 Stara Zagora Manor                 | Patiala                    | Punjab               | India
 1101 Bucuresti Boulevard               | Patras                     | West Greece          | Greece
 602 Paarl Street                       | Pavlodar                   | Pavlodar             | Kazakstan
 544 Malm Parkway                       | Pemalang                   | Central Java         | Indonesia
 1980 Kamjanets-Podilskyi Street        | Peoria                     | Illinois             | Murica
 1410 Benin City Parkway                | Pereira                    | Risaralda            | Colombia
 754 Valencia Place                     | Phnom Penh                 | Phnom Penh           | Cambodia
 1294 Firozabad Drive                   | Pingxiang                  | Jiangxi              | China
 185 Mannheim Lane                      | Pjatigorsk                 | Stavropol            | Russian Federation
 1501 Pangkal Pinang Avenue             | Plock                      | Mazowieckie          | Poland
 1666 Qomsheh Drive                     | Po                         | So Paulo             | Brazil
 1405 Chisinau Place                    | Ponce                      | Ponce                | Puerto Rico
 1152 al-Qatif Lane                     | Pontianak                  | Kalimantan Barat     | Indonesia
 1338 Zalantun Lane                     | Poos de Caldas             | Minas Gerais         | Brazil
 816 Cayenne Parkway                    | Portoviejo                 | Manab                | Ecuador
 154 Oshawa Manor                       | Probolinggo                | East Java            | Indonesia
 1661 Abha Drive                        | Pudukkottai                | Tamil Nadu           | India
 943 Johannesburg Avenue                | Pune                       | Maharashtra          | India
 1596 Acua Parkway                      | Purnea (Purnia)            | Jharkhand            | India
 1003 Qinhuangdao Street                | Purwakarta                 | West Java            | Indonesia
 765 Southampton Drive                  | Qalyub                     | al-Qalyubiya         | Egypt
 1246 Boksburg Parkway                  | Qinhuangdao                | Hebei                | China
 76 Kermanshah Manor                    | Qomsheh                    | Esfahan              | Iran
 773 Dallas Manor                       | Quilmes                    | Buenos Aires         | Argentina
 936 Salzburg Lane                      | Rae Bareli                 | Uttar Pradesh        | India
 1447 Imus Place                        | Rajkot                     | Gujarat              | India
 1920 Weifang Avenue                    | Rampur                     | Uttar Pradesh        | India
 1872 Toulon Loop                       | Rancagua                   | OHiggins             | Chile
 604 Bern Place                         | Ranchi                     | Jharkhand            | India
 432 Garden Grove Street                | Richmond Hill              | Ontario              | Canada
 1206 Dos Quebradas Place               | Rio Claro                  | So Paulo             | Brazil
 1060 Tandil Lane                       | Rizhao                     | Shandong             | China
 1936 Cuman Avenue                      | Roanoke                    | Virginia             | Murica
 1954 Kowloon and New Kowloon Way       | Robamba                    | Chimborazo           | Ecuador
 1485 Bratislava Place                  | Rockford                   | Illinois             | Murica
 191 Jos Azueta Parkway                 | Ruse                       | Ruse                 | Bulgaria
 1639 Saarbrcken Drive                  | Rustenburg                 | North West           | South Africa
 430 Alessandria Loop                   | Saarbrcken                 | Saarland             | Germany
 1542 Tarlac Parkway                    | Sagamihara                 | Kanagawa             | Japan
 1717 Guadalajara Lane                  | Saint Louis                | Missouri             | Murica
 1952 Pune Lane                         | Saint-Denis                | Saint-Denis          | Runion
 28 Charlotte Amalie Street             | Sal                        | Rabat-Sal-Zammour-Z  | Morocco
 1416 San Juan Bautista Tuxtepec Avenue | Salala                     | Zufar                | Oman
 144 South Hill Loop                    | Salamanca                  | Guanajuato           | Mexico
 920 Kumbakonam Loop                    | Salinas                    | California           | Murica
 1587 Loja Manor                        | Salzburg                   | Salzburg             | Austria
 866 Shivapuri Manor                    | Sambhal                    | Uttar Pradesh        | India
 1121 Loja Avenue                       | San Bernardino             | California           | Murica
 437 Chungho Drive                      | San Felipe de Puerto Plata | Puerto Plata         | Dominican Republic
 1145 Vilnius Manor                     | San Felipe del Progreso    | Mxico                | Mexico
 355 Vitria de Santo Anto Way           | San Juan Bautista Tuxtepec | Oaxaca               | Mexico
 1628 Nagareyama Lane                   | San Lorenzo                | Central              | Paraguay
 1483 Pathankot Street                  | San Miguel de Tucumn       | Tucumn               | Argentina
 687 Alessandria Parkway                | Sanaa                      | Sanaa                | Yemen
 1891 Rizhao Boulevard                  | Santa Brbara dOeste        | So Paulo             | Brazil
 430 Kumbakonam Drive                   | Santa F                    | Santa F              | Argentina
 1176 Southend-on-Sea Manor             | Santa Rosa                 | Southern Tagalog     | Philippines
 1764 Jalib al-Shuyukh Parkway          | Santiago de Compostela     | Galicia              | Spain
 532 Toulon Street                      | Santiago de los Caballeros | Santiago             | Dominican Republic
 519 Nyeri Manor                        | Santo Andr                 | So Paulo             | Brazil
 390 Wroclaw Way                        | Sanya                      | Hainan               | China
 1913 Hanoi Way                         | Sasebo                     | Nagasaki             | Japan
 45 Aparecida de Goinia Place           | Satna                      | Madhya Pradesh       | India
 1727 Matamoros Place                   | Sawhaj                     | Sawhaj               | Egypt
 1407 Surakarta Manor                   | Serpuhov                   | Moskova              | Russian Federation
 927 Barcelona Street                   | Shahr-e Kord               | Chaharmahal va Bakht | Iran
 1269 Botosani Manor                    | Shanwei                    | Guangdong            | China
 1909 Dayton Avenue                     | Shaoguan                   | Guangdong            | China
 1192 Tongliao Street                   | Sharja                     | Sharja               | United Arab Emirates
 686 Donostia-San Sebastin Lane         | Shenzhen                   | Guangdong            | China
 934 San Felipe de Puerto Plata Street  | Shikarpur                  | Sind                 | Pakistan
 1964 Gijn Manor                        | Shimoga                    | Karnataka            | India
 786 Aurora Avenue                      | Shimonoseki                | Yamaguchi            | Japan
 57 Arlington Manor                     | Shivapuri                  | Madhya Pradesh       | India
 1987 Coacalco de Berriozbal Loop       | Shubra al-Khayma           | al-Qalyubiya         | Egypt
 1792 Valle de la Pascua Place          | Siegen                     | Nordrhein-Westfalen  | Germany
 1197 Sokoto Boulevard                  | Siliguri (Shiliguri)       | West Bengali         | India
 927 Baha Blanca Parkway                | Simferopol                 | Krim                 | Ukraine
 1740 Portoviejo Avenue                 | Sincelejo                  | Sucre                | Colombia
 956 Nam Dinh Manor                     | Sirjan                     | Kerman               | Iran
 680 A Corua (La Corua) Manor           | Sivas                      | Sivas                | Turkey
 757 Rustenburg Avenue                  | Skikda                     | Skikda               | Algeria
 801 Hagonoy Drive                      | Smolensk                   | Smolensk             | Russian Federation
 1715 Okayama Street                    | So Bernardo do Campo       | So Paulo             | Brazil
 614 Denizli Parkway                    | So Leopoldo                | Rio Grande do Sul    | Brazil
 656 Matamoros Drive                    | Sogamoso                   | Boyac                | Colombia
 1342 Sharja Way                        | Sokoto                     | Sokoto & Kebbi & Zam | Nigeria
 870 Ashqelon Loop                      | Songkhla                   | Songkhla             | Thailand
 1957 Yantai Lane                       | Sorocaba                   | So Paulo             | Brazil
 999 Sanaa Loop                         | Soshanguve                 | Gauteng              | South Africa
 507 Smolensk Loop                      | Sousse                     | Sousse               | Tunisia
 1368 Maracabo Boulevard                | South Hill                 |                      | Anguilla
 1584 Ljubertsy Lane                    | Southampton                | England              | United Kingdom
 360 Toulouse Parkway                   | Southend-on-Sea            | England              | United Kingdom
 869 Shikarpur Way                      | Southport                  | England              | United Kingdom
 929 Tallahassee Loop                   | Springs                    | Gauteng              | South Africa
 1229 Valencia Parkway                  | Stara Zagora               | Haskovo              | Bulgaria
 879 Newcastle Way                      | Sterling Heights           | Michigan             | Murica
 808 Naala-Porto Parkway                | Stockport                  | England              | United Kingdom
 287 Cuautla Boulevard                  | Sucre                      | Chuquisaca           | Bolivia
 1574 Goinia Boulevard                  | Suihua                     | Heilongjiang         | China
 1103 Quilmes Boulevard                 | Sullana                    | Piura                | Peru
 319 Plock Parkway                      | Sultanbeyli                | Istanbul             | Turkey
 503 Sogamoso Loop                      | Sumqayit                   | Sumqayit             | Azerbaijan
 140 Chiayi Parkway                     | Sumy                       | Sumy                 | Ukraine
 715 So Bernardo do Campo Lane          | Sungai Petani              | Kedah                | Malaysia
 226 Brest Manor                        | Sunnyvale                  | California           | Murica
 1947 Paarl Way                         | Surakarta                  | Central Java         | Indonesia
 1823 Hoshiarpur Lane                   | Syktyvkar                  | Komi                 | Russian Federation
 1926 Gingoog Street                    | Syrakusa                   | Sisilia              | Italy
 42 Fontana Avenue                      | Szkesfehrvr                | Fejr                 | Hungary
 605 Rio Claro Parkway                  | Tabora                     | Tabora               | Tanzania
 600 Bradford Street                    | Tabriz                     | East Azerbaidzan     | Iran
 780 Kimberley Way                      | Tabuk                      | Tabuk                | Saudi Arabia
 1892 Nabereznyje Telny Lane            | Tafuna                     | Tutuila              | American Samoa
 89 Allappuzha (Alleppey) Manor         | Taguig                     | National Capital Reg | Philippines
 1001 Miyakonojo Lane                   | Taizz                      | Taizz                | Yemen
 48 Maracabo Place                      | Talavera                   | Central Luzon        | Philippines
 1309 Weifang Street                    | Tallahassee                | Florida              | Murica
 102 Chapra Drive                       | Tama                       | Ibaragi              | Japan
 1993 Tabuk Lane                        | Tambaram                   | Tamil Nadu           | India
 1191 Tandil Drive                      | Tanauan                    | Southern Tagalog     | Philippines
 88 Nagaon Manor                        | Tandil                     | Buenos Aires         | Argentina
 262 A Corua (La Corua) Parkway         | Tangail                    | Dhaka                | Bangladesh
 1489 Kakamigahara Lane                 | Tanshui                    | Taipei               | Taiwan
 1479 Rustenburg Boulevard              | Tanza                      | Southern Tagalog     | Philippines
 947 Trshavn Place                      | Tarlac                     | Central Luzon        | Philippines
 842 Salzburg Lane                      | Tarsus                     | Adana                | Turkey
 1289 Belm Boulevard                    | Tartu                      | Tartumaa             | Estonia
 469 Nakhon Sawan Street                | Teboksary                  | Tuvassia             | Russian Federation
 935 Aden Boulevard                     | Tegal                      | Central Java         | Indonesia
 97 Shimoga Avenue                      | Tel Aviv-Jaffa             | Tel Aviv             | Israel
 1599 Plock Drive                       | Tete                       | Tete                 | Mozambique
 1760 Oshawa Manor                      | Tianjin                    | Tianjin              | China
 1908 Gaziantep Place                   | Tiefa                      | Liaoning             | China
 1325 Fukuyama Street                   | Tieli                      | Heilongjiang         | China
 539 Hami Way                           | Tokat                      | Tokat                | Turkey
 193 Bhusawal Place                     | Tonghae                    | Kang-won             | South Korea
 105 Dzerzinsk Manor                    | Tongliao                   | Inner Mongolia       | China
 261 Saint Louis Way                    | Torren                     | Coahuila de Zaragoza | Mexico
 1029 Dzerzinsk Manor                   | Touliu                     | Ynlin                | Taiwan
 1386 Yangor Avenue                     | Toulon                     | Provence-Alpes-Cte   | France
 391 Callao Drive                       | Toulouse                   | Midi-Pyrnes          | France
 1359 Zhoushan Parkway                  | Trshavn                    | Streymoyar           | Faroe Islands
 1923 Stara Zagora Lane                 | Tsaotun                    | Nantou               | Taiwan
 1404 Taguig Drive                      | Tsuyama                    | Okayama              | Japan
 862 Xintai Lane                        | Tuguegarao                 | Cagayan Valley       | Philippines
 1642 Charlotte Amalie Drive            | Tychy                      | Slaskie              | Poland
 1877 Ezhou Lane                        | Udaipur                    | Rajasthan            | India
 1986 Sivas Place                       | Udine                      | Friuli-Venezia Giuli | Italy
 496 Celaya Drive                       | Ueda                       | Nagano               | Japan
 300 Junan Street                       | Uijongbu                   | Kyonggi              | South Korea
 1704 Tambaram Manor                    | Uluberia                   | West Bengali         | India
 1337 Lincoln Parkway                   | Urawa                      | Saitama              | Japan
 251 Florencia Drive                    | Uruapan                    | Michoacn de Ocampo   | Mexico
 1215 Pyongyang Parkway                 | Usak                       | Usak                 | Turkey
 1621 Tongliao Avenue                   | Usolje-Sibirskoje          | Irkutsk              | Russian Federation
 954 Kimchon Place                      | Uttarpara-Kotrung          | West Bengali         | India
 943 Tokat Street                       | Vaduz                      | Vaduz                | Liechtenstein
 163 Augusta-Richmond County Loop       | Valencia                   | Carabobo             | Venezuela
 86 Higashiosaka Lane                   | Valle de Santiago          | Guanajuato           | Mexico
 544 Tarsus Boulevard                   | Valle de la Pascua         | Gurico               | Venezuela
 990 Etawah Loop                        | Valparai                   | Tamil Nadu           | India
 983 Santa F Way                        | Vancouver                  | British Colombia     | Canada
 117 Boa Vista Way                      | Varanasi (Benares)         | Uttar Pradesh        | India
 1244 Allappuzha (Alleppey) Place       | Vicente Lpez               | Buenos Aires         | Argentina
 758 Korolev Parkway                    | Vijayawada                 | Andhra Pradesh       | India
 306 Antofagasta Place                  | Vila Velha                 | Esprito Santo        | Brazil
 1059 Yuncheng Avenue                   | Vilnius                    | Vilna                | Lithuania
 600 Purnea (Purnia) Avenue             | Vinh                       | Nghe An              | Vietnam
 1133 Rizhao Avenue                     | Vitria de Santo Anto       | Pernambuco           | Brazil
 1944 Bamenda Way                       | Warren                     | Michigan             | Murica
 1464 Kursk Parkway                     | Weifang                    | Shandong             | China
 68 Molodetno Manor                     | Witten                     | Nordrhein-Westfalen  | Germany
 28 MySQL Boulevard                     | Woodridge                  | QLD                  | Australia
 1411 Lillydale Drive                   | Woodridge                  | QLD                  | Australia
 505 Madiun Boulevard                   | Wroclaw                    | Dolnoslaskie         | Poland
 1103 Bilbays Parkway                   | Xiangfan                   | Hubei                | China
 1586 Guaruj Place                      | Xiangtan                   | Hunan                | China
 415 Pune Avenue                        | Xintai                     | Shandong             | China
 1909 Benguela Lane                     | Xinxiang                   | Henan                | China
 808 Bhopal Manor                       | Yamuna Nagar               | Haryana              | India
 962 Tama Loop                          | Yangor                     |                      | Nauru
 85 San Felipe de Puerto Plata Drive    | Yantai                     | Shandong             | China
 114 Jalib al-Shuyukh Manor             | Yaound                     | Centre               | Cameroon
 42 Brindisi Place                      | Yerevan                    | Yerevan              | Armenia
 1297 Alvorada Parkway                  | Yinchuan                   | Ningxia              | China
 1993 0 Loop                            | Yingkou                    | Liaoning             | China
 1515 Korla Way                         | York                       | England              | United Kingdom
 798 Cianjur Avenue                     | Yuncheng                   | Shanxi               | China
 867 Benin City Avenue                  | Yuzhou                     | Henan                | China
 832 Nakhon Sawan Manor                 | Zalantun                   | Inner Mongolia       | China
 1842 Luzinia Boulevard                 | Zanzibar                   | Zanzibar West        | Tanzania
 1778 Gijn Manor                        | Zaoyang                    | Hubei                | China
 1088 Ibirit Place                      | Zapopan                    | Jalisco              | Mexico
 885 Yingkou Manor                      | Zaria                      | Kaduna               | Nigeria
 1378 Beira Loop                        | Zeleznogorsk               | Krasnojarsk          | Russian Federation
 521 San Juan Bautista Tuxtepec Place   | Zhezqazghan                | Qaraghandy           | Kazakstan
 346 Cam Ranh Avenue                    | Zhoushan                   | Zhejiang             | China
 1889 Valparai Way                      | Ziguinchor                 | Ziguinchor           | Senegal
 669 Firozabad Loop                     | al-Ayn                     | Abu Dhabi            | United Arab Emirates
 1124 Buenaventura Drive                | al-Hawiya                  | Mekka                | Saudi Arabia
 1759 Niznekamsk Avenue                 | al-Manama                  | al-Manama            | Bahrain
 1152 Citrus Heights Manor              | al-Qadarif                 | al-Qadarif           | Sudan
 289 Santo Andr Manor                   | al-Qatif                   | al-Sharqiya          | Saudi Arabia
 758 Junan Lane                         | guas Lindas de Gois        | Gois                 | Brazil
 421 Yaound Street                      | ostka                      | Sumy                 | Ukraine
 741 Ambattur Manor                     | s-Hertogenbosch            | Noord-Brabant        | Netherlands
(602 rows)

